Country,Code,Debt,Exports,Savings,Inflation,PCI,Fertility,Exp_educ
Japan,JPN,195.7759541,14.66119918,21.54526518,-0.033428046,47870,1.41,0
Greece,GRC,163.9415979,26.99847243,9.810235567,1.501519789,23660,1.34,0
Italy,ITA,131.0751687,30.21502098,17.40086414,3.04136253,34640,1.4,0
Cyprus,CYP,130.9711516,0,0,2.389768958,26110,1.465,0
Ireland,IRL,126.9361938,107.8062252,16.03375079,1.692784715,39020,2.01,0
Portugal,PRT,126.1549107,38.6914038,15.92625768,2.773338541,20640,1.28,0
Iceland,ISL,117.6125923,59.43242293,9.262161787,5.186060248,38270,2.04,0
Singapore,SGP,115.0705014,200.6575115,45.58397316,4.528650647,47210,1.29,0
France,FRA,103.7700772,27.43565748,17.52039887,1.9556855,41750,2.01,0
United Kingdom,GBR,102.6360893,0,10.89968619,2.821709747,38500,1.9,0
United States,USA,93.80717285,0,16.54189084,2.069337265,52340,1.8805,0
Belgium,BEL,92.37976753,0,20.31841609,2.840374091,44720,1.79,0
Malta,MLT,87.32626826,0,0,2.417624644,19710,1.43,0
Hungary,HUN,86.16983886,0,0,5.705829342,12410,1.34,0
Austria,AUT,81.06933512,57.19587697,24.59066198,2.485675087,47850,1.44,0
Sri Lanka,LKA,79.13234585,0,24.08319642,7.542913732,2920,2.346,4.77714
North America,NAC,74.28056812,0,17.0740035,1.792507748,52270.29741,1.853299616,0
Belize,BLZ,74.20792048,0,0,1.306449816,0,2.715,0
Seychelles,SYC,73.34723755,0,0,7.107825065,12180,2.4,0
Netherlands,NLD,72.5648966,88.02762381,24.77998152,2.446541504,48000,1.72,0
New Zealand,NZL,69.08428069,28.63401111,18.27759281,0.883430295,36900,2.05,0
Spain,ESP,67.59049059,0,18.934678,2.445914628,29270,1.32,0
Jordan,JOR,66.82352784,43.87068106,8.460264243,4.767950346,4670,3.314,0
Colombia,COL,65.42736259,18.26620495,18.87004982,3.176934374,7020,2.316,15.41776
Morocco,MAR,59.61065918,0,25.75431679,1.278741213,2960,2.706,0
Germany,DEU,56.91040354,0,24.18815789,2.008491182,45070,1.38,0
Canada,CAN,54.75396339,0,23.63906719,1.515678231,51570,1.61,0
Slovak Republic,SVK,54.30263235,0,0,3.606102635,17190,1.34,0
Malaysia,MYS,53.29337882,87.1362898,31.86559783,1.655361757,9820,1.975,0
Finland,FIN,52.73214536,40.57213788,18.11645189,2.808332326,46490,1.8,0
Philippines,PHL,51.4639132,30.80449397,23.89033789,3.172085646,2500,3.076,0
India,IND,49.69080756,23.99623821,30.32495198,9.312445605,1550,2.505,0
Lithuania,LTU,49.4321434,0,0,3.080985915,13820,1.6,0
Denmark,DNK,48.29692668,54.80137293,23.6118928,2.411075048,59870,1.73,0
"Bahamas, The",BHS,47.92848304,44.7882956,8.41243682,1.97336756,20600,1.893,0
Turkey,TUR,45.14394927,0,14.45665065,8.891569965,10830,2.06,0
Uruguay,URY,44.57354455,0,15.02883548,8.097765806,13580,2.056,0
Tunisia,TUN,44.05561955,0,14.5029847,5.504345536,4150,2.17,0
Czech Republic,CZE,42.90062402,78.02882843,21.00008738,3.299073139,18130,1.45,0
Latvia,LVA,41.0818825,0,0,2.252044695,14060,1.44,0
Australia,AUS,40.85953741,21.26035701,25.46653439,1.762780156,59260,1.927,0
Uganda,UGA,39.33366806,0,12.79219865,14.01605656,480,5.964,7.63869
Mauritius,MUS,37.22234337,54.77650521,15.0796882,3.852160333,8570,1.43,10.46182
Sweden,SWE,36.6327775,0,25.43717125,0.888377507,56120,1.91,0
Ukraine,UKR,33.60213615,0,9.272693117,0.555555556,3500,1.531,0
Liberia,LBR,32.71382484,0,0,6.834768221,370,4.868,0
Georgia,GEO,32.56599151,38.44107298,18.33390104,-0.944295602,3290,1.82,10.70904
Belarus,BLR,25.36644101,81.63677389,31.50820488,59.21973602,6530,1.62,0
Moldova,MDA,24.43134085,0,12.80481064,4.682306516,2070,1.462,39.48231
Guatemala,GTM,24.38611721,24.94706636,11.97885569,3.78250024,3120,3.844,0
Norway,NOR,20.85650914,40.89663394,39.07343889,0.709219858,98780,1.85,0
Luxembourg,LUX,20.45470252,177.2872794,16.43778105,2.664199548,71640,1.57,0
Botswana,BWA,19.08666394,44.49616911,40.70414895,7.540284094,7650,2.665,0
Nigeria,NGA,18.37008522,55.42890866,40.6197886,12.21700718,1440,6.002,0
Peru,PER,18.15180179,25.64447128,25.39935364,3.653732359,6060,2.448,8.68243
Bulgaria,BGR,18.08050525,0,21.69902943,2.954545164,6840,1.5,0
Estonia,EST,10.49202576,90.56292381,25.00616751,3.934921578,16270,1.55,0
Russian Federation,RUS,9.378895226,29.43814298,29.63833029,5.06771929,12700,1.59,0
Afghanistan,AFG,,5.519546697,-14.91928047,7.218257761,680,5.141,0
Albania,ALB,,31.29714015,14.47622999,2.03159594,4030,1.76,0
Algeria,DZA,,37.20265428,47.47952854,8.894585294,5020,2.82,0
American Samoa,ASM,,0,0,0,0,0,0
Andorra,AND,,0,0,0,0,0,0
Angola,AGO,,0,17.96495466,10.29349433,4580,5.979,0
Antigua and Barbuda,ATG,,48.7226629,24.91021135,3.376880443,12480,2.102,0
Arab World,ARB,,0,0,4.767950346,7113.266275,3.233401748,0
Argentina,ARG,,0,21.87069112,10.03025904,0,2.188,0
Armenia,ARM,,0,11.66724608,2.5554709,3720,1.739,16.21339
Aruba,ABW,,0,0,0.564036728,0,1.681,0
Azerbaijan,AZE,,53.70923234,41.87387596,1.064335834,6220,2,0
Bahrain,BHR,,75.26907088,0,2.754553598,19560,2.094,0
Bangladesh,BGD,,23.17136554,39.77397603,6.21818237,840,2.208,0
Barbados,BRB,,42.48198161,0,4.533347539,15080,1.845,0
Benin,BEN,,0,0,6.753123517,750,4.927,0
Bermuda,BMU,,0,0,0,104590,1.76,0
Bhutan,BTN,,0,0,10.91965694,2420,2.275,0
Bolivia,BOL,,47.25235921,25.72538914,4.586374696,2220,3.264,0
Bosnia and Herzegovina,BIH,,0,14.46188625,2.049674463,4750,1.268,0
Brazil,BRA,,12.55735045,14.77075591,5.40196475,11630,1.811,0
Brunei Darussalam,BRN,,81.36520479,0,0.464102858,0,2.012,0
Burkina Faso,BFA,,0,0,3.818152403,670,5.693,15.37352
Burundi,BDI,,0,17.54548927,18.01281606,240,6.123,12.63557
Cabo Verde,CPV,,31.84963585,0,2.543293964,3830,2.331,0
Cambodia,KHM,,0,0,2.932724618,880,2.894,0
Cameroon,CMR,,29.16334098,15.8119566,2.942510001,1170,4.859,0
Caribbean small states,CSS,,0,0,2.598444141,8838.154083,2.186514853,21.74227
Cayman Islands,CYM,,0,0,0,0,0,0
Central African Republic,CAF,,0,0,5.772250594,510,4.451,0
Chad,TCD,,29.48382782,0,10.24641394,770,6.375,0
Channel Islands,CHI,,0,0,0,0,1.451,0
Chile,CHL,,0,21.41927919,3.006520356,14310,1.832,16.84191
China,CHN,,0,51.16598615,2.652439936,5720,1.663,0
Comoros,COM,,0,0,1.768907098,840,4.782,0
"Congo, Dem. Rep.",COD,,55.48503679,0,0,230,6.039,0
"Congo, Rep.",COG,,0,0,3.89014729,2550,5.012,0
Costa Rica,CRI,,37.67089924,15.9460349,4.504067692,8820,1.81,0
Cote d'Ivoire,CIV,,0,0,1.312723318,1220,4.894,0
Croatia,HRV,,43.3771498,18.93997375,3.422982885,13490,1.51,0
Cuba,CUB,,0,0,0,0,1.453,0
Curacao,CUW,,0,0,0,0,2.2,0
Djibouti,DJI,,0,0,3.731209508,0,3.457,0
Dominica,DMA,,40.08771117,10.78634207,1.439476913,6440,0,0
Dominican Republic,DOM,,24.87512753,9.236531338,3.694524905,5470,2.517,9.22213
Ecuador,ECU,,31.15085775,26.85875371,5.10065348,5170,2.59,0
"Egypt, Arab Rep.",EGY,,17.42887973,13.02802717,7.11815562,2980,2.807,0
El Salvador,SLV,,28.35478788,8.897824764,1.729577995,3590,2.209,0
Equatorial Guinea,GNQ,,84.374672,0,6.146775489,13560,4.945,0
Eritrea,ERI,,0,0,0,450,4.785,0
Ethiopia,ETH,,14.00094283,28.79809919,22.77046088,380,4.642,0
Faeroe Islands,FRO,,0,0,0,0,0,0
Fiji,FJI,,62.30494801,0,3.415952383,4110,2.615,0
French Polynesia,PYF,,0,0,0,0,2.075,0
Gabon,GAB,,56.88079797,0,2.661784381,10040,4.136,0
"Gambia, The",GMB,,28.56521207,17.08804597,4.254571978,510,5.775,17.90448
Ghana,GHA,,45.85161081,21.50097714,9.160778311,1550,3.92,0
Greenland,GRL,,0,0,0,0,1.983,0
Grenada,GRD,,25.24329827,-10.15260349,2.41077704,7220,2.194,0
